7.836047446772062552e-03,6.149313145551237730e-03,5.403376094061851723e-03,4.115982540476851442e-03,2.956413412109318208e-03,2.240445611452430985e-03,1.647539437049135328e-03,1.489209216731361609e-03,1.152040663484916972e-03,1.608041920783396736e-03,1.899619021653593375e-03,2.108401937803598865e-03,2.756812303756237155e-03,3.222150786321980199e-03,3.507057378124829247e-03,4.086158413102542949e-03,5.388550903373962205e-03,6.544082477118506706e-03,6.759529019689228778e-03
6.149313145551237730e-03,5.213218546220203115e-03,4.602146870309910612e-03,3.560679677625928647e-03,2.634972287647535313e-03,2.040554115001372987e-03,1.496424952884595119e-03,1.256514217516240071e-03,1.023697935732302685e-03,1.396169609591776202e-03,1.586328091567857810e-03,1.711359573038477534e-03,2.102717189652888053e-03,2.242206771401759370e-03,2.248723775564445346e-03,2.548987668361391793e-03,3.491868119204177747e-03,4.451784589622458793e-03,4.939407557659852149e-03
5.403376094061851723e-03,4.602146870309910612e-03,4.241816518725042770e-03,3.408473715908646139e-03,2.584920188694719671e-03,2.028386574747175278e-03,1.536407063072225227e-03,1.246592654769521948e-03,8.574254110310313521e-04,1.074613766867972423e-03,1.200320570571481067e-03,1.325019639861439637e-03,1.665747634918394093e-03,1.766177442012061569e-03,1.806175284146149460e-03,2.173181064166523815e-03,3.038053430985791954e-03,3.848588005035210539e-03,4.128284551323916501e-03
4.115982540476851442e-03,3.560679677625928647e-03,3.408473715908646139e-03,2.905077306232133668e-03,2.331875007863473074e-03,1.916943534753175497e-03,1.592440868580656272e-03,1.330796479085208763e-03,9.051859273457866150e-04,9.825994758672937195e-04,1.073918396869846109e-03,1.231206389303500558e-03,1.510527443789215669e-03,1.563942687769712516e-03,1.639862377939209836e-03,1.937743330470959643e-03,2.482975094770063437e-03,3.016246240232478212e-03,3.149289366782333233e-03
2.956413412109318208e-03,2.634972287647535313e-03,2.584920188694719671e-03,2.331875007863473074e-03,1.986917777016328820e-03,1.712900491747955129e-03,1.545892362692612371e-03,1.350291946380621213e-03,9.918805522719572210e-04,1.011867568333733002e-03,1.095538525809133497e-03,1.266900593293192843e-03,1.476948693230898963e-03,1.472608728658099169e-03,1.549892063198117292e-03,1.742122755077094845e-03,2.010206319872014352e-03,2.360849319778635796e-03,2.500246089489557497e-03
2.240445611452430985e-03,2.040554115001372987e-03,2.028386574747175278e-03,1.916943534753175497e-03,1.712900491747955129e-03,1.556301664316993728e-03,1.509721798234865903e-03,1.374513224524449764e-03,1.102124979192619248e-03,1.107590256178087084e-03,1.193549808237414625e-03,1.349022520259921367e-03,1.481767369622793680e-03,1.416395512086328183e-03,1.446834625431572558e-03,1.563067174807663802e-03,1.706535432942306914e-03,2.018690787348936984e-03,2.292474408923253406e-03
1.647539437049135328e-03,1.496424952884595119e-03,1.536407063072225227e-03,1.592440868580656272e-03,1.545892362692612371e-03,1.509721798234865903e-03,1.648831915432445250e-03,1.628079007150278791e-03,1.442244086772987962e-03,1.477347041923418678e-03,1.594207120736318341e-03,1.770138869150962883e-03,1.887375514734349925e-03,1.837477957959260649e-03,1.979514950176436590e-03,2.203444392668320317e-03,2.373925079294293174e-03,2.776287285846336730e-03,3.228163357233404789e-03
1.489209216731361609e-03,1.256514217516240071e-03,1.246592654769521948e-03,1.330796479085208763e-03,1.350291946380621213e-03,1.374513224524449764e-03,1.628079007150278791e-03,1.745477094429110634e-03,1.691228549100188411e-03,1.834495623089017454e-03,2.026868945568158307e-03,2.217832993386921209e-03,2.341442220116209116e-03,2.324577021024635572e-03,2.549092783478265536e-03,2.824016944492550515e-03,3.040284985259380027e-03,3.577137832508132942e-03,4.207101401463523432e-03
1.152040663484916972e-03,1.023697935732302685e-03,8.574254110310313521e-04,9.051859273457866150e-04,9.918805522719572210e-04,1.102124979192619248e-03,1.442244086772987962e-03,1.691228549100188411e-03,1.916263579354924359e-03,2.235435666179274965e-03,2.491440125738516535e-03,2.630280573539981598e-03,2.660420812396735533e-03,2.557345941302576180e-03,2.695277376615410562e-03,2.889846637808521444e-03,3.141396251932819517e-03,3.888142554884598586e-03,4.987362643840051978e-03
1.608041920783396736e-03,1.396169609591776202e-03,1.074613766867972423e-03,9.825994758672937195e-04,1.011867568333733002e-03,1.107590256178087084e-03,1.477347041923418678e-03,1.834495623089017454e-03,2.235435666179274965e-03,2.762258901375292189e-03,3.107002838016769460e-03,3.234091411315933706e-03,3.271240653900330930e-03,3.171425073159471822e-03,3.350187902575759488e-03,3.648441801522115703e-03,4.148624865151885957e-03,5.242926978252808803e-03,6.736849826260755611e-03
1.899619021653593375e-03,1.586328091567857810e-03,1.200320570571481067e-03,1.073918396869846109e-03,1.095538525809133497e-03,1.193549808237414625e-03,1.594207120736318341e-03,2.026868945568158307e-03,2.491440125738516535e-03,3.107002838016769460e-03,3.566492245986384573e-03,3.737288153275025119e-03,3.764172788044371169e-03,3.606376950639262734e-03,3.708544684011011710e-03,3.810875336651351353e-03,4.110290484251208527e-03,5.213583874570038718e-03,6.825990033461754730e-03
2.108401937803598865e-03,1.711359573038477534e-03,1.325019639861439637e-03,1.231206389303500558e-03,1.266900593293192843e-03,1.349022520259921367e-03,1.770138869150962883e-03,2.217832993386921209e-03,2.630280573539981598e-03,3.234091411315933706e-03,3.737288153275025119e-03,3.996438871416664249e-03,4.126110296587270909e-03,4.059208857177244029e-03,4.267230706206472969e-03,4.334237405584319067e-03,4.469156412491027616e-03,5.422017760565452094e-03,6.821296120170436232e-03
2.756812303756237155e-03,2.102717189652888053e-03,1.665747634918394093e-03,1.510527443789215669e-03,1.476948693230898963e-03,1.481767369622793680e-03,1.887375514734349925e-03,2.341442220116209116e-03,2.660420812396735533e-03,3.271240653900330930e-03,3.764172788044371169e-03,4.126110296587270909e-03,4.532623971714376011e-03,4.815691078726299333e-03,5.425465387237164185e-03,5.849667417599030243e-03,6.240179413531474033e-03,7.169098488030044812e-03,8.161356102970782761e-03
3.222150786321980199e-03,2.242206771401759370e-03,1.766177442012061569e-03,1.563942687769712516e-03,1.472608728658099169e-03,1.416395512086328183e-03,1.837477957959260649e-03,2.324577021024635572e-03,2.557345941302576180e-03,3.171425073159471822e-03,3.606376950639262734e-03,4.059208857177244029e-03,4.815691078726299333e-03,5.615866802776332996e-03,6.826886434436196978e-03,7.877532538231356643e-03,8.779253163424659973e-03,9.728513612775857231e-03,1.018567570518739453e-02
3.507057378124829247e-03,2.248723775564445346e-03,1.806175284146149460e-03,1.639862377939209836e-03,1.549892063198117292e-03,1.446834625431572558e-03,1.979514950176436590e-03,2.549092783478265536e-03,2.695277376615410562e-03,3.350187902575759488e-03,3.708544684011011710e-03,4.267230706206472969e-03,5.425465387237164185e-03,6.826886434436196978e-03,8.888134416676206351e-03,1.093815866849296922e-02,1.268410562265957602e-02,1.388613756610688685e-02,1.392094584178281240e-02
4.086158413102542949e-03,2.548987668361391793e-03,2.173181064166523815e-03,1.937743330470959643e-03,1.742122755077094845e-03,1.563067174807663802e-03,2.203444392668320317e-03,2.824016944492550515e-03,2.889846637808521444e-03,3.648441801522115703e-03,3.810875336651351353e-03,4.334237405584319067e-03,5.849667417599030243e-03,7.877532538231356643e-03,1.093815866849296922e-02,1.464198368408379212e-02,1.818159115476349758e-02,2.031626237359464987e-02,2.041408496393573579e-02
5.388550903373962205e-03,3.491868119204177747e-03,3.038053430985791954e-03,2.482975094770063437e-03,2.010206319872014352e-03,1.706535432942306914e-03,2.373925079294293174e-03,3.040284985259380027e-03,3.141396251932819517e-03,4.148624865151885957e-03,4.110290484251208527e-03,4.469156412491027616e-03,6.240179413531474033e-03,8.779253163424659973e-03,1.268410562265957602e-02,1.818159115476349758e-02,2.402427223106522527e-02,2.762700237240062542e-02,2.836210149579945425e-02
6.544082477118506706e-03,4.451784589622458793e-03,3.848588005035210539e-03,3.016246240232478212e-03,2.360849319778635796e-03,2.018690787348936984e-03,2.776287285846336730e-03,3.577137832508132942e-03,3.888142554884598586e-03,5.242926978252808803e-03,5.213583874570038718e-03,5.422017760565452094e-03,7.169098488030044812e-03,9.728513612775857231e-03,1.388613756610688685e-02,2.031626237359464987e-02,2.762700237240062542e-02,3.259230542393923985e-02,3.451601941566306841e-02
6.759529019689228778e-03,4.939407557659852149e-03,4.128284551323916501e-03,3.149289366782333233e-03,2.500246089489557497e-03,2.292474408923253406e-03,3.228163357233404789e-03,4.207101401463523432e-03,4.987362643840051978e-03,6.736849826260755611e-03,6.825990033461754730e-03,6.821296120170436232e-03,8.161356102970782761e-03,1.018567570518739453e-02,1.392094584178281240e-02,2.041408496393573579e-02,2.836210149579945425e-02,3.451601941566306841e-02,3.829650157545076705e-02
